Timestamp,AAPL_ESG_Score,AMZN_ESG_Score,NKE_ESG_Score,PFE_ESG_Score,TSLA_ESG_Score,XOM_ESG_Score
1512086400,67.4,54.6675,61.06291667,64.4,54.15,63.22055556
1514764800,68.54,54.5585,61.12416667,64.4,54.15,63.33887324
1517443200,68.54,54.84016667,61.03708333,64.4,54.15,63.63521127
1519862400,68.54,55.2615,61.61208333,64.4,54.15,64.18557143
1522540800,68.54,55.27916667,61.45916667,64.4,54.09,64.29957143
1525132800,68.54,55.36116667,61.50458333,64.4,61.33,64.04857143
1527811200,68.54,55.51566667,61.33583333,64.4,61.33,64.02485714
1530403200,68.54,54.99676471,61.428,64.4,61.33,64.58558442
1533081600,69.33,55.39433333,61.08458333,65.72,61.33,64.21342857
1535760000,69.33,55.6405,61.15958333,65.72,60.53,64.10814286
1538352000,69.33,55.579,61.70083333,59.02,61,64.05422535
1541030400,70.63,55.54616667,61.62333333,59.1,59.43,64.07901408
1543622400,70.63,55.37966667,61.66083333,59.94,59.43,64.08901408
1546300800,70.63,55.43066667,62.65291667,59.94,59.43,64.06619718
1548979200,70.63,55.39305085,62.54,59.94,59.88,64.08323944
1551398400,70.34,55.41254237,62.59208333,59.94,59.88,64.28507042
1554076800,70.34,55.44916667,62.5775,60.21,59.88,64.55728571
1556668800,70.34,55.42666667,62.65166667,61.02,59.88,64.52442857
1559347200,70.4,55.43033333,62.64782609,61.02,58.5,64.29657143
1561939200,70.4,55.425,62.55,61.02,58.5,64.17585714
1564617600,70.28,55.61525424,62.54608696,61.02,58.5,64.09914286
1567296000,72.27,55.67542373,62.49869565,61.02,58.5,64.41471429
1569888000,72.27,55.66389831,62.44869565,61.02,58.5,64.503
1572566400,72.27,56.17728814,63.3,61.02,58.5,64.80814286
1575158400,23.6,49.93793651,49.72173913,32.92,30.78,56.60957143
1577836800,23.82,17.4965625,14.17869565,32.92,31.37,39.33828571
1580515200,23.82,17.31507937,14.19347826,32.92,31.37,39.41242857
1583020800,23.82,17.29,14.1473913,32.92,31.37,39.31514286
1585699200,null,null,null,null,null,null
1588291200,null,null,null,null,null,null
1590969600,null,null,null,null,null,null
1593561600,23.62,17.13936508,14.13041667,29.65,31.07,39.02450704
1596240000,23.62,16.97015873,14.11291667,29.65,31.07,39.30112676
1598918400,null,16.98253968,14.09083333,null,null,39.04577465
1601510400,23.65,16.7616129,13.93826087,29.65,31.09,39.12394366
1604188800,null,null,null,null,null,null
1606780800,null,null,null,null,null,null
1609459200,16.46,16.59555556,13.57272727,30.01,31.09,38.04183099
1612137600,16.58,16.57,13.53090909,30.01,31.09,38.14985915
1614556800,16.73,16.51177419,13.65285714,25.26,31.29,37.98704225
1617235200,null,null,null,null,null,null
1619827200,16.92,16.64688525,13.73761905,24.55,31.29,37.58957746
1622505600,null,null,null,null,null,null
1625097600,null,null,null,null,null,null
1627776000,null,null,null,null,null,null
1630454400,16.92,16.44684211,13.92,24.53,30.46,36.675625
1633046400,null,null,null,null,null,null
1635724800,null,null,null,null,null,null
1638316800,null,null,null,null,null,null
1640995200,null,null,null,null,null,null
1643673600,16.27,16.33929825,13.94105263,24.6,28.54,36.75348485
1646092800,null,null,null,null,null,null
1648771200,null,null,null,null,null,null
1651363200,16.41,16.39315789,13.86157895,25.17,28.54,37.78166667
1654041600,null,null,null,null,null,null
1656633600,null,null,null,null,null,null
1659312000,16.68,16.17814815,13.999,25.34,28.54,37.75061538
